id,HS,TR,AG,HS_original
201,1,0,0,1
202,1,0,0,1
203,1,0,0,1
204,0,0,0,0
205,0,0,0,0
206,1,0,0,1
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,1,0,1,1
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,1,0,1,1
217,1,0,1,1
218,1,0,0,1
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,1,0,1,1
227,0,0,0,0
228,1,0,1,1
229,0,0,0,0
230,1,0,1,1
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,1,0,0,1
235,0,0,0,0
236,1,0,1,1
237,0,0,0,0
238,0,0,0,0
239,1,0,0,1
240,0,0,0,0
241,1,0,0,1
242,0,0,0,0
243,1,0,1,1
244,0,0,0,0
245,0,0,0,0
246,1,0,1,1
247,1,0,0,1
248,0,0,0,0
249,0,0,0,0
250,1,0,0,1
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,1,0,1,1
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,1,0,1,1
262,1,0,1,1
263,0,0,0,0
264,1,0,0,1
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,1,0,1,1
270,1,0,0,1
271,0,0,0,0
272,0,0,0,0
273,1,0,1,1
274,0,0,0,0
275,1,0,0,1
276,1,0,0,1
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,1,0,0,1
281,0,0,0,0
282,1,0,1,1
283,0,0,0,0
284,1,0,1,1
285,0,0,0,0
286,1,0,0,1
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,1,0,0,1
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,1,0,1,1
297,1,0,1,1
298,0,0,0,0
299,1,1,1,1
300,0,0,0,0
301,0,0,0,0
302,1,0,0,1
303,1,0,1,1
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,1,0,1,1
308,1,0,1,1
309,1,0,1,1
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,1,0,0,1
314,1,0,0,1
315,0,0,0,0
316,0,0,0,0
317,1,0,0,1
318,0,0,0,0
319,1,0,0,1
320,0,0,0,0
321,0,0,0,0
322,1,0,0,1
323,0,0,0,0
324,0,0,0,0
325,0,0,0,0
326,1,0,1,1
327,0,0,0,0
328,0,0,0,0
