id,HS,TR,AG
20001,1,0,0
20002,1,0,0
20003,0,0,0
20004,0,0,0
20007,0,0,0
20008,0,0,0
20009,0,0,0
20010,0,0,0
20012,0,0,0
20013,1,1,1
20014,0,0,0
20015,0,0,0
20016,0,0,0
20017,1,1,1
20018,0,0,0
20020,0,0,0
20021,0,0,0
20022,0,0,0
20023,0,0,0
20024,0,0,0
20025,0,0,0
20026,1,1,1
20027,0,0,0
20028,0,0,0
20029,0,0,0
20030,0,0,0
20031,0,0,0
20032,1,1,1
20034,0,0,0
20035,0,0,0
20036,0,0,0
20037,0,0,0
20038,1,1,1
20040,1,0,1
20041,0,0,0
20042,1,1,1
20043,0,0,0
20044,1,1,0
20045,1,1,1
20048,0,0,0
20049,0,0,0
20050,0,0,0
20051,0,0,0
20052,1,0,1
20053,1,1,1
20054,0,0,0
20055,0,0,0
20056,1,1,1
20057,0,0,0
20058,0,0,0
20059,1,1,1
20060,1,0,0
20061,0,0,0
20062,1,1,1
20064,0,0,0
20065,0,0,0
20066,0,0,0
20067,0,0,0
20068,0,0,0
20069,1,1,1
20070,0,0,0
20071,0,0,0
20072,0,0,0
20073,1,0,1
20074,1,1,1
20075,0,0,0
20076,1,0,1
20077,0,0,0
20078,0,0,0
20079,0,0,0
20080,1,0,1
20081,1,0,0
20082,1,1,1
20083,1,1,1
20084,0,0,0
20085,1,1,1
20086,0,0,0
20087,1,0,1
20088,0,0,0
20089,0,0,0
20090,0,0,0
20091,0,0,0
20092,0,0,0
20093,0,0,0
20094,0,0,0
20095,0,0,0
20096,0,0,0
20097,1,1,1
20098,0,0,0
20099,1,0,0
20100,1,0,0
20102,1,0,1
20103,0,0,0
20104,1,0,0
20105,0,0,0
20106,1,1,1
20107,0,0,0
20108,1,0,1
20109,0,0,0
20110,0,0,0
20112,1,0,1
20113,0,0,0
20114,0,0,0
20115,0,0,0
20116,1,1,1
20117,0,0,0
20118,1,1,1
20119,1,1,1
20120,0,0,0
20121,1,0,1
20122,0,0,0
20123,0,0,0
20125,1,0,0
20126,1,1,1
20128,0,0,0
20129,1,0,1
20130,0,0,0
20131,1,0,1
20132,0,0,0
20133,1,1,1
20134,0,0,0
20135,1,0,0
20136,0,0,0
20137,1,1,1
20139,0,0,0
20140,1,1,1
20141,0,0,0
20143,0,0,0
20144,1,0,1
20145,0,0,0
20146,1,1,1
20147,1,1,1
20149,1,1,1
20150,0,0,0
20151,0,0,0
20152,1,0,0
20153,0,0,0
20154,1,1,1
20155,0,0,0
20156,0,0,0
20157,0,0,0
20158,0,0,0
20159,0,0,0
20160,0,0,0
20163,0,0,0
20164,1,1,1
20165,0,0,0
20166,1,0,0
20167,0,0,0
20168,1,0,0
20169,0,0,0
20170,0,0,0
20171,0,0,0
20172,0,0,0
20173,1,0,0
20174,0,0,0
20176,1,1,1
20177,0,0,0
20178,1,1,1
20179,0,0,0
20180,0,0,0
20181,1,0,1
20182,0,0,0
20183,1,0,1
20184,0,0,0
20185,0,0,0
20186,1,1,1
20187,0,0,0
20189,0,0,0
20190,0,0,0
20191,0,0,0
20192,0,0,0
20193,0,0,0
20194,0,0,0
20195,1,0,1
20196,1,1,1
20197,0,0,0
20198,0,0,0
20199,1,0,1
20200,1,0,1
20201,0,0,0
20202,1,1,1
20203,0,0,0
20204,1,1,1
20205,0,0,0
20206,1,0,0
20207,0,0,0
20208,0,0,0
20209,0,0,0
20211,1,1,1
20212,0,0,0
20214,1,1,1
20215,1,1,1
20216,0,0,0
20217,0,0,0
20218,0,0,0
20219,1,0,1
20220,1,1,1
20221,0,0,0
20222,0,0,0
20223,1,1,1
20224,1,0,0
20225,0,0,0
20226,0,0,0
20227,1,1,1
20228,1,1,1
20229,1,1,1
20230,0,0,0
20231,1,0,0
20233,1,0,0
20234,0,0,0
20235,1,0,1
20236,0,0,0
20237,0,0,0
20238,0,0,0
20239,0,0,0
20240,1,0,1
20242,1,1,1
20243,0,0,0
20244,1,0,1
20245,1,1,1
20246,0,0,0
20247,0,0,0
20248,0,0,0
20249,1,1,1
20250,1,0,1
20251,1,0,0
20252,1,1,1
20253,0,0,0
20254,0,0,0
20256,1,1,1
20257,0,0,0
20258,1,1,0
20259,1,0,0
20260,0,0,0
20261,0,0,0
20262,0,0,0
20263,0,0,0
20264,0,0,0
20266,0,0,0
20267,0,0,0
20268,0,0,0
20269,1,1,1
20270,0,0,0
20271,1,1,1
20272,1,1,1
20273,0,0,0
20274,0,0,0
20275,1,1,1
20276,1,1,1
20277,1,1,1
20278,0,0,0
20279,0,0,0
20280,0,0,0
20281,1,0,0
20282,1,1,1
20283,0,0,0
20284,0,0,0
20285,1,1,1
20286,0,0,0
20287,0,0,0
20289,0,0,0
20290,1,0,1
20291,0,0,0
20292,1,1,1
20293,0,0,0
